Hostname,OS,Version,Software,IP Address,Asset Tag,Owner,Environment,Location,Lifecycle Status,Patch Level,Last Scanned,Criticality,Business Service,Installed Software,Security Agent Status,Backup Status,Running Services,Normalized OS,Normalized Software
dc-server-21,Linux Server,Ubuntu 20.04,Apache,10.0.1.22,SYS-000021,user14@example.com,Dev,DAL1-RK08-U06,In Use,2025-04-06,2025-04-20,Low,HRMS,"Nessus, Node.js, Tenable",Offline,Success (Last: 2025-04-19),"Ansible, MSSQL, Puppet",Linux Server,"APACHE, NODE.JS"
dc-server-22,Linux Server,RHEL 8,Node.js,10.0.1.23,SYS-000022,user6@example.com,QA,DAL1-RK18-U08,Maintenance,2025-03-28,2025-04-14,Low,Web Portal,"Java, Nessus, CrowdStrike",Online,Success (Last: 2025-04-21),"Ansible, Puppet, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, JAVA, NODE.JS"
dc-server-23,Linux Server,Ubuntu 20.04,Tomcat,10.0.1.24,SYS-000023,user29@example.com,Production,DAL1-RK20-U02,In Use,2025-03-30,2025-04-20,Medium,Web Portal,"Node.js, CrowdStrike, Nessus",Offline,Success (Last: 2025-04-17),"MSSQL, Ansible, Puppet",Cross-platform,"CROWDSTRIKE, NODE.JS, TOMCAT"
dc-server-24,Windows Server,2019,SQL Server,10.0.1.25,SYS-000024,user46@example.com,QA,DAL1-RK02-U07,In Use,2025-04-05,2025-04-18,High,HRMS,".NET, CrowdStrike, Node.js",Offline,Success (Last: 2025-04-18),"W3SVC, Docker, MSSQL",Windows Server,".NET, CROWDSTRIKE, DOCKER, NODE.JS, SQL SERVER"
dc-server-25,Windows Server,2019,Tomcat,10.0.1.26,SYS-000025,user87@example.com,Production,DAL1-RK01-U18,Maintenance,2025-03-29,2025-04-20,Medium,Analytics,"Node.js, Java, CrowdStrike",Online,Success (Last: 2025-04-16),"CrowdStrikeSensor, Ansible, Docker",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, NODE.JS, TOMCAT"
dc-server-26,Linux Server,RHEL 8,Docker,10.0.1.27,SYS-000026,user56@example.com,Production,DAL1-RK04-U05,In Use,2025-04-13,2025-04-16,High,Web Portal,"Node.js, .NET, Nessus",Online,Success (Last: 2025-04-18),"W3SVC, Ansible, Docker",Windows Server,".NET, DOCKER, NODE.JS"
dc-server-27,Linux Server,Debian 11,Tomcat,10.0.1.28,SYS-000027,user90@example.com,Dev,DAL1-RK19-U04,Maintenance,2025-04-17,2025-04-15,High,Web Portal,"Node.js, Tenable, Nessus",Offline,Success (Last: 2025-04-18),"Docker, MSSQL, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS, TOMCAT"
dc-server-28,Windows Server,2022,Node.js,10.0.1.29,SYS-000028,user23@example.com,Dev,DAL1-RK02-U08,Maintenance,2025-03-28,2025-04-17,Medium,ERP,".NET, Node.js, CrowdStrike",Online,Success (Last: 2025-04-16),"Puppet, Ansible, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, NODE.JS"
dc-server-29,Linux Server,RHEL 8,Redis,10.0.1.30,SYS-000029,user12@example.com,Dev,DAL1-RK20-U08,Maintenance,2025-04-20,2025-04-16,Medium,Billing,"Java, Nessus, Node.js",Online,Success (Last: 2025-04-18),"MSSQL, Puppet, W3SVC",Linux Server,"JAVA, NODE.JS, REDIS"
dc-server-30,Windows Server,2019,Docker,10.0.1.31,SYS-000030,user32@example.com,Dev,DAL1-RK13-U20,Maintenance,2025-04-06,2025-04-21,High,HRMS,"Tenable, Java, .NET",Offline,Success (Last: 2025-04-18),"Ansible, CrowdStrikeSensor, MSSQL",Windows Server,".NET, CROWDSTRIKE, DOCKER, JAVA"
dc-server-31,Windows Server,2022,Docker,10.0.1.32,SYS-000031,user18@example.com,Production,DAL1-RK04-U07,In Use,2025-03-28,2025-04-15,High,ERP,"Node.js, .NET, Nessus",Offline,Success (Last: 2025-04-17),"Puppet, Ansible, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-32,Linux Server,Debian 11,Apache,10.0.1.33,SYS-000032,user61@example.com,Production,DAL1-RK08-U17,Maintenance,2025-03-23,2025-04-20,Medium,Web Portal,"Nessus, .NET, CrowdStrike",Offline,Success (Last: 2025-04-16),"Puppet, W3SVC, Ansible",Windows Server,".NET, APACHE, CROWDSTRIKE"
dc-server-33,Linux Server,Ubuntu 20.04,Docker,10.0.1.34,SYS-000033,user55@example.com,Dev,DAL1-RK03-U01,Maintenance,2025-03-22,2025-04-20,Medium,Web Portal,".NET, Tenable, Node.js",Offline,Success (Last: 2025-04-19),"Puppet, W3SVC, Docker",Windows Server,".NET, DOCKER, NODE.JS"
dc-server-34,Linux Server,RHEL 8,Docker,10.0.1.35,SYS-000034,user91@example.com,Dev,DAL1-RK03-U18,Maintenance,2025-04-04,2025-04-20,High,Web Portal,"Node.js, CrowdStrike, Tenable",Offline,Success (Last: 2025-04-19),"MSSQL, Docker, Puppet",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-35,Windows Server,2022,Redis,10.0.1.36,SYS-000035,user16@example.com,QA,DAL1-RK11-U14,Maintenance,2025-04-20,2025-04-18,Medium,ERP,"Node.js, .NET, Tenable",Offline,Success (Last: 2025-04-20),"Ansible, MSSQL, Docker",Windows Server,".NET, DOCKER, NODE.JS, REDIS"
dc-server-36,Windows Server,2022,Apache,10.0.1.37,SYS-000036,user40@example.com,Dev,DAL1-RK19-U12,In Use,2025-04-02,2025-04-16,Low,Billing,"Node.js, .NET, Nessus",Offline,Success (Last: 2025-04-21),"CrowdStrikeSensor, MSSQL, W3SVC",Windows Server,".NET, APACHE, CROWDSTRIKE, NODE.JS"
dc-server-37,Windows Server,2019,Docker,10.0.1.38,SYS-000037,user67@example.com,QA,DAL1-RK20-U17,In Use,2025-03-24,2025-04-21,High,Billing,".NET, Java, CrowdStrike",Offline,Success (Last: 2025-04-21),"Ansible, Puppet, MSSQL",Windows Server,".NET, CROWDSTRIKE, DOCKER, JAVA"
dc-server-38,Linux Server,RHEL 8,Node.js,10.0.1.39,SYS-000038,user77@example.com,Dev,DAL1-RK18-U16,Maintenance,2025-04-14,2025-04-17,High,Web Portal,"CrowdStrike, Node.js, .NET",Online,Success (Last: 2025-04-19),"MSSQL, CrowdStrikeSensor, W3SVC",Windows Server,".NET, CROWDSTRIKE, NODE.JS"
dc-server-39,Linux Server,Debian 11,Apache,10.0.1.40,SYS-000039,user56@example.com,Production,DAL1-RK15-U13,Maintenance,2025-04-09,2025-04-16,High,Billing,"CrowdStrike, Node.js, Java",Offline,Success (Last: 2025-04-17),"Docker, Ansible, MSSQL",Cross-platform,"APACHE, CROWDSTRIKE, DOCKER, JAVA, NODE.JS"
dc-server-40,Windows Server,2019,Node.js,10.0.1.41,SYS-000040,user54@example.com,QA,DAL1-RK02-U14,In Use,2025-04-05,2025-04-14,Medium,Web Portal,"Node.js, CrowdStrike, Nessus",Online,Success (Last: 2025-04-18),"CrowdStrikeSensor, Puppet, W3SVC",Cross-platform,"CROWDSTRIKE, NODE.JS"
dc-server-41,Linux Server,Debian 11,Tomcat,10.0.1.42,SYS-000041,user87@example.com,QA,DAL1-RK09-U01,Maintenance,2025-04-10,2025-04-17,Low,ERP,"Tenable, CrowdStrike, .NET",Online,Success (Last: 2025-04-16),"Docker, CrowdStrikeSensor, W3SVC",Windows Server,".NET, CROWDSTRIKE, DOCKER, TOMCAT"
dc-server-42,Linux Server,Ubuntu 20.04,Apache,10.0.1.43,SYS-000042,user62@example.com,Dev,DAL1-RK15-U18,In Use,2025-04-20,2025-04-20,Low,Web Portal,"Tenable, Nessus, CrowdStrike",Offline,Success (Last: 2025-04-17),"CrowdStrikeSensor, Ansible, MSSQL",Cross-platform,"APACHE, CROWDSTRIKE"
dc-server-43,Linux Server,RHEL 8,Node.js,10.0.1.44,SYS-000043,user23@example.com,QA,DAL1-RK06-U11,Maintenance,2025-04-10,2025-04-20,High,Web Portal,"Java, Node.js, .NET",Online,Success (Last: 2025-04-21),"Ansible, W3SVC, Puppet",Windows Server,".NET, JAVA, NODE.JS"
dc-server-44,Windows Server,2019,Nginx,10.0.1.45,SYS-000044,user90@example.com,QA,DAL1-RK06-U02,Maintenance,2025-04-20,2025-04-21,High,HRMS,"Java, .NET, Nessus",Online,Success (Last: 2025-04-18),"Ansible, W3SVC, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, JAVA, NGINX"
dc-server-45,Windows Server,2022,Node.js,10.0.1.46,SYS-000045,user6@example.com,Production,DAL1-RK02-U01,In Use,2025-04-01,2025-04-16,Medium,HRMS,"Tenable, Java, CrowdStrike",Offline,Success (Last: 2025-04-16),"MSSQL, W3SVC, Docker",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, NODE.JS"
dc-server-46,Windows Server,2022,Tomcat,10.0.1.47,SYS-000046,user19@example.com,Production,DAL1-RK14-U15,In Use,2025-03-24,2025-04-16,Medium,Analytics,"Nessus, Tenable, Java",Offline,Success (Last: 2025-04-20),"Puppet, W3SVC, MSSQL",Linux Server,"JAVA, TOMCAT"
dc-server-47,Linux Server,Ubuntu 20.04,Nginx,10.0.1.48,SYS-000047,user57@example.com,QA,DAL1-RK09-U01,Maintenance,2025-03-26,2025-04-17,Low,Web Portal,"Node.js, Java, CrowdStrike",Offline,Success (Last: 2025-04-16),"W3SVC, Docker, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, NGINX, NODE.JS"
dc-server-48,Windows Server,2022,Nginx,10.0.1.49,SYS-000048,user28@example.com,Production,DAL1-RK03-U02,In Use,2025-04-13,2025-04-14,Medium,Analytics,"Nessus, CrowdStrike, Node.js",Offline,Success (Last: 2025-04-20),"Docker, Ansible, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, NGINX, NODE.JS"
dc-server-49,Windows Server,2019,Apache,10.0.1.50,SYS-000049,user82@example.com,Dev,DAL1-RK13-U11,Maintenance,2025-03-22,2025-04-14,High,Billing,"Tenable, CrowdStrike, Nessus",Offline,Success (Last: 2025-04-19),"Puppet, MSSQL, CrowdStrikeSensor",Cross-platform,"APACHE, CROWDSTRIKE"
dc-server-50,Windows Server,2019,Nginx,10.0.1.51,SYS-000050,user27@example.com,QA,DAL1-RK01-U16,Maintenance,2025-04-13,2025-04-14,Medium,HRMS,"CrowdStrike, Nessus, .NET",Online,Success (Last: 2025-04-19),"MSSQL, CrowdStrikeSensor, Ansible",Windows Server,".NET, CROWDSTRIKE, NGINX"
dc-server-51,Windows Server,2019,Tomcat,10.0.1.52,SYS-000051,user94@example.com,Dev,DAL1-RK09-U04,In Use,2025-04-17,2025-04-14,Low,ERP,".NET, Nessus, Tenable",Online,Success (Last: 2025-04-20),"CrowdStrikeSensor, Docker, Ansible",Windows Server,".NET, CROWDSTRIKE, DOCKER, TOMCAT"
dc-server-52,Windows Server,2022,IIS,10.0.1.53,SYS-000052,user57@example.com,Production,DAL1-RK11-U09,Maintenance,2025-03-24,2025-04-18,Medium,ERP,".NET, Node.js, CrowdStrike",Online,Success (Last: 2025-04-20),"W3SVC, MSSQL, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, IIS, NODE.JS"
dc-server-53,Linux Server,Debian 11,SQL Server,10.0.1.54,SYS-000053,user66@example.com,Dev,DAL1-RK10-U12,In Use,2025-03-24,2025-04-19,Medium,Billing,"Tenable, .NET, Java",Online,Success (Last: 2025-04-20),"Ansible, CrowdStrikeSensor, W3SVC",Windows Server,".NET, CROWDSTRIKE, JAVA, SQL SERVER"
dc-server-54,Linux Server,Debian 11,SQL Server,10.0.1.55,SYS-000054,user48@example.com,QA,DAL1-RK12-U12,Maintenance,2025-03-28,2025-04-16,High,Analytics,"Java, CrowdStrike, Node.js",Offline,Success (Last: 2025-04-18),"Ansible, MSSQL, W3SVC",Windows Server,"CROWDSTRIKE, JAVA, NODE.JS, SQL SERVER"
dc-server-55,Linux Server,Ubuntu 20.04,Node.js,10.0.1.56,SYS-000055,user94@example.com,Production,DAL1-RK11-U12,Maintenance,2025-04-05,2025-04-21,High,Billing,"Nessus, Java, Node.js",Offline,Success (Last: 2025-04-17),"MSSQL, W3SVC, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, JAVA, NODE.JS"
dc-server-56,Linux Server,RHEL 8,Nginx,10.0.1.57,SYS-000056,user38@example.com,Production,DAL1-RK01-U14,In Use,2025-03-27,2025-04-19,High,ERP,".NET, CrowdStrike, Node.js",Online,Success (Last: 2025-04-19),"W3SVC, Ansible, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, NGINX, NODE.JS"
dc-server-57,Linux Server,RHEL 8,IIS,10.0.1.58,SYS-000057,user11@example.com,Dev,DAL1-RK14-U16,Maintenance,2025-04-07,2025-04-16,High,Web Portal,"Node.js, .NET, CrowdStrike",Online,Success (Last: 2025-04-18),"Docker, CrowdStrikeSensor, MSSQL",Windows Server,".NET, CROWDSTRIKE, DOCKER, IIS, NODE.JS"
dc-server-58,Windows Server,2019,Apache,10.0.1.59,SYS-000058,user85@example.com,Dev,DAL1-RK13-U04,Maintenance,2025-04-04,2025-04-21,Medium,Analytics,".NET, Node.js, Tenable",Offline,Success (Last: 2025-04-18),"Ansible, Docker, MSSQL",Windows Server,".NET, APACHE, DOCKER, NODE.JS"
dc-server-59,Windows Server,2022,IIS,10.0.1.60,SYS-000059,user10@example.com,Production,DAL1-RK07-U11,Maintenance,2025-03-26,2025-04-20,High,HRMS,"Java, CrowdStrike, Tenable",Online,Success (Last: 2025-04-21),"Ansible, W3SVC, Puppet",Windows Server,"CROWDSTRIKE, IIS, JAVA"
dc-server-60,Linux Server,Ubuntu 20.04,Nginx,10.0.1.61,SYS-000060,user57@example.com,QA,DAL1-RK20-U17,In Use,2025-03-27,2025-04-17,Low,HRMS,"CrowdStrike, Node.js, Nessus",Online,Success (Last: 2025-04-16),"Puppet, Ansible, MSSQL",Cross-platform,"CROWDSTRIKE, NGINX, NODE.JS"
dc-server-61,Windows Server,2019,Nginx,10.0.1.62,SYS-000061,user16@example.com,Dev,DAL1-RK18-U01,Maintenance,2025-04-21,2025-04-21,High,Analytics,"Node.js, CrowdStrike, Tenable",Offline,Success (Last: 2025-04-19),"Ansible, W3SVC, MSSQL",Cross-platform,"CROWDSTRIKE, NGINX, NODE.JS"
dc-server-62,Linux Server,Debian 11,IIS,10.0.1.63,SYS-000062,user65@example.com,Production,DAL1-RK08-U02,In Use,2025-04-12,2025-04-17,Medium,Web Portal,"Java, CrowdStrike, Nessus",Offline,Success (Last: 2025-04-19),"CrowdStrikeSensor, Ansible, W3SVC",Windows Server,"CROWDSTRIKE, IIS, JAVA"
dc-server-63,Windows Server,2019,Docker,10.0.1.64,SYS-000063,user22@example.com,QA,DAL1-RK02-U12,Maintenance,2025-04-12,2025-04-16,Medium,Analytics,"CrowdStrike, Tenable, .NET",Online,Success (Last: 2025-04-17),"Puppet, Docker, MSSQL",Windows Server,".NET, CROWDSTRIKE, DOCKER"
dc-server-64,Linux Server,Ubuntu 20.04,Node.js,10.0.1.65,SYS-000064,user91@example.com,QA,DAL1-RK17-U01,Maintenance,2025-04-19,2025-04-18,Medium,HRMS,"Java, .NET, Node.js",Offline,Success (Last: 2025-04-18),"Puppet, Ansible, MSSQL",Windows Server,".NET, JAVA, NODE.JS"
dc-server-65,Linux Server,RHEL 8,Apache,10.0.1.66,SYS-000065,user58@example.com,Production,DAL1-RK14-U07,In Use,2025-04-14,2025-04-17,Medium,ERP,"CrowdStrike, .NET, Node.js",Offline,Success (Last: 2025-04-19),"MSSQL, Docker, Puppet",Windows Server,".NET, APACHE, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-66,Linux Server,Debian 11,Redis,10.0.1.67,SYS-000066,user7@example.com,QA,DAL1-RK17-U10,Maintenance,2025-04-06,2025-04-16,Low,Web Portal,"CrowdStrike, Node.js, Java",Online,Success (Last: 2025-04-17),"Docker, MSSQL, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, NODE.JS, REDIS"
dc-server-67,Windows Server,2022,Node.js,10.0.1.68,SYS-000067,user79@example.com,Production,DAL1-RK10-U19,In Use,2025-04-14,2025-04-17,Low,HRMS,"Tenable, .NET, CrowdStrike",Online,Success (Last: 2025-04-17),"MSSQL, Ansible, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, NODE.JS"
dc-server-68,Windows Server,2019,Redis,10.0.1.69,SYS-000068,user99@example.com,Production,DAL1-RK07-U08,In Use,2025-04-11,2025-04-21,Medium,Billing,"Java, Node.js, Tenable",Offline,Success (Last: 2025-04-17),"CrowdStrikeSensor, MSSQL, Ansible",Cross-platform,"CROWDSTRIKE, JAVA, NODE.JS, REDIS"
dc-server-69,Linux Server,RHEL 8,Nginx,10.0.1.70,SYS-000069,user76@example.com,QA,DAL1-RK18-U16,In Use,2025-04-03,2025-04-14,Low,ERP,".NET, Tenable, Nessus",Online,Success (Last: 2025-04-21),"Docker, Puppet, MSSQL",Windows Server,".NET, DOCKER, NGINX"
dc-server-70,Linux Server,RHEL 8,SQL Server,10.0.1.71,SYS-000070,user22@example.com,QA,DAL1-RK14-U02,Maintenance,2025-03-31,2025-04-15,High,HRMS,"Node.js, Java, Nessus",Offline,Success (Last: 2025-04-19),"CrowdStrikeSensor, W3SVC, Puppet",Windows Server,"CROWDSTRIKE, JAVA, NODE.JS, SQL SERVER"
dc-server-71,Windows Server,2019,Apache,10.0.1.72,SYS-000071,user18@example.com,QA,DAL1-RK04-U04,In Use,2025-03-24,2025-04-15,Low,Web Portal,".NET, Java, Node.js",Offline,Success (Last: 2025-04-21),"Ansible, Docker, W3SVC",Windows Server,".NET, APACHE, DOCKER, JAVA, NODE.JS"
dc-server-72,Linux Server,Ubuntu 20.04,Node.js,10.0.1.73,SYS-000072,user82@example.com,Production,DAL1-RK17-U01,Maintenance,2025-04-20,2025-04-16,High,HRMS,"Java, Tenable, Node.js",Online,Success (Last: 2025-04-18),"W3SVC, CrowdStrikeSensor, Puppet",Cross-platform,"CROWDSTRIKE, JAVA, NODE.JS"
dc-server-73,Windows Server,2022,Node.js,10.0.1.74,SYS-000073,user50@example.com,Dev,DAL1-RK19-U02,Maintenance,2025-04-03,2025-04-20,Medium,Billing,"CrowdStrike, .NET, Java",Online,Success (Last: 2025-04-17),"Docker, MSSQL, W3SVC",Windows Server,".NET, CROWDSTRIKE, DOCKER, JAVA, NODE.JS"
dc-server-74,Windows Server,2019,Apache,10.0.1.75,SYS-000074,user78@example.com,Production,DAL1-RK16-U09,Maintenance,2025-03-28,2025-04-16,High,Web Portal,"Nessus, Java, .NET",Offline,Success (Last: 2025-04-21),"MSSQL, W3SVC, Docker",Windows Server,".NET, APACHE, DOCKER, JAVA"
dc-server-75,Windows Server,2022,IIS,10.0.1.76,SYS-000075,user61@example.com,QA,DAL1-RK17-U02,In Use,2025-03-25,2025-04-16,Low,Web Portal,"Node.js, CrowdStrike, .NET",Online,Success (Last: 2025-04-20),"Puppet, Docker, MSSQL",Windows Server,".NET, CROWDSTRIKE, DOCKER, IIS, NODE.JS"
dc-server-76,Windows Server,2022,Node.js,10.0.1.77,SYS-000076,user93@example.com,Production,DAL1-RK19-U03,Maintenance,2025-04-19,2025-04-16,Medium,HRMS,".NET, Java, Nessus",Offline,Success (Last: 2025-04-17),"Puppet, W3SVC, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, JAVA, NODE.JS"
dc-server-77,Windows Server,2019,Docker,10.0.1.78,SYS-000077,user77@example.com,Dev,DAL1-RK06-U06,In Use,2025-04-19,2025-04-18,High,Analytics,".NET, Java, Nessus",Offline,Success (Last: 2025-04-17),"CrowdStrikeSensor, Puppet, W3SVC",Windows Server,".NET, CROWDSTRIKE, DOCKER, JAVA"
dc-server-78,Windows Server,2019,Apache,10.0.1.79,SYS-000078,user67@example.com,Dev,DAL1-RK02-U11,Maintenance,2025-04-02,2025-04-14,Medium,HRMS,"Java, Node.js, CrowdStrike",Offline,Success (Last: 2025-04-21),"Docker, W3SVC, Puppet",Cross-platform,"APACHE, CROWDSTRIKE, DOCKER, JAVA, NODE.JS"
dc-server-79,Windows Server,2019,Node.js,10.0.1.80,SYS-000079,user49@example.com,QA,DAL1-RK16-U06,Maintenance,2025-04-14,2025-04-19,Low,ERP,"Nessus, Node.js, CrowdStrike",Online,Success (Last: 2025-04-19),"CrowdStrikeSensor, Ansible, Docker",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS"
